Sr.No,Village,Total Cultivable Area (2016-17),filename,
,,,,
1,Atkawade,140,atkawade,
2,Bhatwadi,114,,
3,Chandrapur,1077,,
4,Chondhi,229,,
5,Dapur,360,,
6,Datli,1320,Datli,
7,Dattanagar,1195,,
8,Deopur,380,,
9,Dharangaon,1747,,
10,Dhondbar,652.52,,
11,Dhondvirnagar,749,,
12,Dubere,477,Dubere,cp_
13,Eklahare,659,,
14,Fardapur,403.32,,
15,Gonde,347,,
16,Gulapur,591.32,,
17,Gulvanch,1220,,
18,Gurewadi,2875.9,,
19,Harsule,153.83,,
20,Jamgaon,351,,
21,Jayprakashnagar,568,,
22,Kedarpur,340,,
23,Khadangali,259,,
24,Khambale,466,,
25,Khaparale,1685.97,,
26,Khopadi Bk.,296,,
27,Khopadi Kh.,726.12,,
28,Kirtangali,580.17,,
29,Konambe,457.95,Konambe,cp_
30,Krishnanagar,1140,,
31,Kundewadi Majre,756,,
32,Kundewadi Mauje,341,,
33,Malegaon,61.7,Malegaon,cp_
34,Manegaon,248,Manegav,
35,Maparwadi,620,,
36,Mendhi,306,,
37,Musalgaon,585.02,,
38,Nimgaon Sinner,1734.8,,
39,Panchale,1371,,
40,Paste,870.87,,
41,Patole,650,,
42,Pimpalgaon,727.61,,
43,Ramnagar,478,,
44,Sangavi,1069.72,,
45,Saradwadi,226,,
46,Shahapur,226.3,,
47,Shastrinagar (Lonarwadi),283,,
48,Shivajinagar,390,,
49,Somthane,806.92,,
50,Sonambe,1060,,
51,Sonari,469,,
52,Ujjani,956.39,,
53,Vadangali,1182.89,,
54,Wadgaon Sinnar,693,,
